T,I,V,Rho_0,Rho
29,4,0.34,106.76,19.253
35,3.99,0.331,104.1944862,18.79010857
40,3.99,0.318,100.1022556,18.05212848
45,3.99,0.302,95.06566416,17.14384528
50,3.99,0.279,87.82556391,15.83818819
55,3.99,0.251,79.01152882,14.2486926
60,3.99,0.227,71.4566416,12.88626781
65,3.99,0.203,63.90175439,11.52384302
70,3.98,0.177,55.85728643,10.07312877
75,3.98,0.154,48.59899497,8.764191131
80,3.98,0.134,42.28743719,7.625984491
85,3.97,0.114,36.06649874,6.50411986
90,3.97,0.1,31.6372796,5.705368298
96,3.97,0.0845,26.73350126,4.821036212
100,3.97,0.0766,24.23415617,4.370312116
105,3.97,0.0661,20.91224181,3.771248445
110,3.97,0.0585,18.50780856,3.337640454
115,3.97,0.0506,16.00846348,2.886916359
120,3.97,0.0447,14.14186398,2.550299629
125,3.97,0.0399,12.62327456,2.276441951
130,3.97,0.0359,11.35778338,2.048227219
135,3.97,0.0321,10.15556675,1.831423224
140,3.97,0.0286,9.048261965,1.631735333
145,3.97,0.0254,8.035869018,1.449163548
150,3.97,0.0227,7.181662469,1.295118604
155,3.97,0.0203,6.422367758,1.158189765
160,3.96,0.01814,5.753494949,1.037567329
